"","block","fertilizer","mowing","ditch","treatment","quad","data_type","year","Agalinus.purpurea","Aster.novi.belgii","Bidens.bipinnata","Chamaecrista.fasciculata","Clematis.dioscoreifolia","Desmodium.sp.","Drosera.sp.","Eupatorium.capillifolium","Eupatorium.pilosum","Eupatorium.recurvans","Eupatorium.rotundifolium","Eupatorium.semiserratum","Euthamia.caroliniana","Gnaphaleum.purpureum","Gratiola.pilosa","Hypericum.sp.","Lactuca.sp","Lespedeza.capitata","Lespedeza.hirta","Lobelia.nuttallii","Ludwigia.alternifolia","Ludwigia.hirtella","Lycopodium","Osmunda.regalis","Packera.tomentosa","Polygala.cruciata","Polygala.lutea","Pteridium.aquilinum","Pycnanthemum.flexuosum","Rhexia.mariana","Rhexia.virginica","Rhus.radicans","Rubus.hispidus","Scutellaria.integrifolia","Smilax.glauca","Smilax.rotundifolia","Solanum.carolinense","Solidago.pinetorum","Solidago.puberula","Solidago.rugosa","Solidago.stricta","Sphagnum.sp","Viola.primulifolia","Acer.rubrum","Amelanchier.canadensis","Clethra.alnifolia","Crataegus.sp.","Cyrilla.racemiflora","Ilex.glabra","Itea.virginica","Liquidambar.styraciflua","Magnolia.virginica","Nyssa.sylvatica","Pinus.taeda","Prunus.serotina","Rhus.copallinum","Rubus.betulifolius","Sorbus.arbutifolia","Symplocos.tinctoria","Vaccinium.sp.","Viburnum.nudum","Amphicarpum.purshii","Andropogon.virginicus","Aristida.virgata","Arundinaria.tecta","Calamagrostis.coarctata","Chasmanthium.laxum","Dichanthelium.lucidum","Dichanthelium.scabriusculum","Dichanthelium.scoparium","Juncus.canadensis","Juncus.biflorus","Juncus.dichotomous","Juncus.effusus","Carex.glaucescens","Rhynchospora.chalarocephala","Rhynchospora.inexpansa","Saccharum.giganteum","Scirpus.cyperinus","Scleria.minor","Xyris.sp"
"1",1,0,0,1,"C",1,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0.0576962703482382,0,0.0138926545706942,0,0,0,0,0,0,0,0,0,0.0093159955317926,0.0093159955317926,0,0,0,0.0116043250512434,0.0070276660123418,0,0.481053499192035,0,0.127484898109688,0.016180984090145,0,0,0,0.016180984090145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151309011246435,0.0832745886971705,0,0,0,0.0253343021679482,0.561120630754715,0,0.319043022763998,0,0,0,0,0,0.0482175973624562,0.061947574479161,0,0,0,0
"2",1,0,0,1,"C",2,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0.0186508678333645,0,0.0735393508865274,0,0.0672840482593003,0.0158180066435628,0,0,0,0,0,0,0,0,0.0458003192361341,0,0,0,0.0158180066435628,0.0514660416157375,0,0,0.0615032858313801,0,0.23443723846364,0.225938654894235,0,0,0,0.0214837290231662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381861060381645,0.0158180066435628,0.0889475273579615,0,0.10782847528796,0.582303964567665,0,0.335176370774076,0,0,0,0,0,0,0,0,0,0,0
"3",1,0,0,1,"C",3,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0.0788328650618878,0,0.0516022477029387,0,0,0,0,0.0389741058546587,0,0,0,0,0.00779482117093173,0,0,0,0,0.00779482117093173,0,0,0.359932417040018,0,0.16665274508315,0.0456792467157719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283780089604374,0.0610638621003873,0.257498671121573,0.122435264636647,0.00779482117093173,0.324485534209128,0,0.12451211177766,0,0,0,0,0,0,0.0611663755790113,0,0,0,0
"4",1,1,0,1,"F",4,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0.100506951719729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172505637729282,0,0.124220927961362,0.0863726761013548,0,0,0,0.0823685565637374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533142745529769,0.0624234245432107,0,0.402804659339098,0,0,0,0,0,0,0,0.0615622281016389,0.401246515261821,0,0.452674148125788,0,0,0,0,0,0,0,0,0,0,0
"5",1,1,0,1,"F",5,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0.0120994621446639,0,0.00920928873425928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463537243514232,0,0.103384196732689,0,0,0,0,0.00920928873425928,0,0,0,0,0.0120994621446639,0,0,0,0,0,0,0,0,0,0,0,0.0184185774685186,0.0765279566063063,0.00920928873425928,0,0,0,0.0120994621446639,0,0.145157019057794,0,0.0339104548484599,0.34314531225744,0,0.751992986877791,0,0,0,0,0,0,0,0,0,0,0
"6",1,1,0,1,"F",6,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0.00696403489099515,0,0.286702824565338,0,0,0,0,0,0,0,0,0,0,0,0.00696403489099515,0,0,0,0,0,0,0,0.471957956114777,0,0.201880289420569,0.00696403489099515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00696403489099515,0,0,0,0,0.0274931835082211,0.0157103905761263,0,0,0.0826005358765831,0.630504833512352,0,0.255293846862053,0,0,0,0,0,0,0,0,0,0,0
"7",1,0,1,1,"M",49,"p cover",2004,0,0,0.00696562713407694,0,0,0,0,0,0,0,0,0,0.149140678351924,0,0,0,0,0,0.00696562713407694,0,0,0,0,0,0.0585875256089233,0,0,0,0,0.014375142271796,0,0,0,0,0.223053721830184,0.042681538811746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00696562713407694,0.0872467562030503,0,0,0,0,0,0.0775552014568632,0,0.0938140223082176,0,0.0224277259276121,0.338834509446847,0,0.871386296380605,0,0,0,0,0,0,0,0,0,0,0
"8",1,0,1,1,"M",50,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0.016255195001789,0,0.0108056037211351,0,0.0108056037211351,0,0,0,0.016255195001789,0,0,0,0,0,0.018275397021991,0,0,0,0,0.0569399719263479,0,0,0,0,0.0671345608675309,0.042000385324636,0.016255195001789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108056037211351,0,0,0,0,0,0,0.023724988302645,0.04744997660529,0,0.139388434756282,0.910246882998927,0,0.613657006027578,0,0,0,0,0,0,0,0,0,0,0
"9",1,0,1,1,"M",51,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0.0120051524259339,0,0.0556075568913697,0,0,0.00965221124946329,0,0.0120051524259339,0,0,0,0.0120051524259339,0,0,0.0363031343924431,0,0,0,0.0441305281236582,0.0120051524259339,0,0,0,0,0.0913825676255904,0.0853799914126235,0.0167110347788751,0,0,0.0120051524259339,0,0,0,0.00965221124946329,0,0,0,0,0,0,0,0,0,0,0,0,0.00965221124946329,0,0.0120051524259339,0,0,0,0,0,0.0981537140403607,0,0.0564233576642336,0.923288965221125,0,0.491631601545728,0,0,0,0,0,0,0,0,0,0,0
"10",1,1,1,1,"MF",52,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0.0785424526628269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254130545338427,0,0.312490390642556,0.0229796695563729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229796695563729,0.0169006422007498,0,0,0,0,0,0.0108216148451267,0,0.234787647984105,0,0.137144749447092,0.294602202169054,0,0.614620415597318,0,0,0,0,0,0,0,0,0,0,0
